state,dem_wins,rep_wins,oth_wins
Alabama,16,12,2
Alaska,1,14,0
Arizona,8,19,0
Arkansas,20,9,1
California,14,15,1
Colorado,12,18,0
Connecticut,14,16,0
Delaware,14,16,0
DC,14,0,0
Florida,17,13,0
Georgia,19,10,1
Hawaii,13,2,0
Idaho,9,21,0
Illinois,15,15,0
Indiana,5,25,0
Iowa,11,19,0
Kansas,5,25,0
Kentucky,16,14,0
Louisiana,17,11,2
Maine,10,20,0
Maryland,20,10,0
Massachusetts,20,10,0
Michigan,12,17,1
Minnesota,19,10,1
Mississippi,16,12,2
Missouri,14,16,0
Montana,10,20,0
Nebraska,6,24,0
Nevada,16,14,0
New Hampshire,12,18,0
New Jersey,14,16,0
New Mexico,15,12,0
New York,17,13,0
North Carolina,18,12,0
North Dakota,5,25,0
Ohio,12,18,0
Oklahoma,10,18,0
Oregon,14,16,0
Pennsylvania,13,16,1
Rhode Island,20,10,0
South Carolina,16,13,1
South Dakota,3,26,1
Tennessee,15,15,0
Texas,16,14,0
Utah,7,23,0
Vermont,8,22,0
Virginia,16,14,0
Washington,16,13,1
West Virginia,15,15,0
Wisconsin,14,15,1
Wyoming,7,23,0
